**Identified Datasets for the Department of Health and Mental Hygiene**

1.  **Violation and Penalty Records**
    *   "The department may make and enforce orders with relation to the care, use, operation, testing and repair of inhalation therapy service or equipment." (§ 17-335.e.4)
    *   "The commissioner or his or her designee may order the person operating the business or conducting the activity to cease and desist from such business or activity. The department may also order the person who owns the premises in which the business is operated or activity is conducted to take whatever action may be necessary to prohibit such business or activity from continuing on such premises." (§ 17-372.b.3)

    **Why:** Orders are direct actions by the DOHMH to address public health threats and enforce compliance, requiring detailed tracking for implementation and follow-up.

    **One row represents:** A single order or enforcement action issued by the DOHMH.

    **Covers:** All orders issued by the DOHMH, including communicable disease control orders, vessel removal orders, building repair/market regulation/obstruction removal orders, nuisance abatement orders, dangerous property destruction/removal orders, drainage orders, yard/cellar improvement orders, physically handicapped children treatment orders, alien/non-resident removal orders, building vacation/condemnation orders, unsound article removal orders, dangerous dog control orders, rental horse removal orders, cooling tower compliance orders, indoor allergen hazard remediation orders, covered facility lead remediation orders, inhalation therapy equipment orders, and pet shop cease and desist orders.

    **Columns:**
    *   Order ID
    *   Order Date
    *   Order Type (e.g., Communicable Disease Control, Vessel Removal, Building Repair, Nuisance Abatement, Dangerous Property Removal, Drainage, Yard/Cellar Improvement, Physically Handicapped Child Treatment, Alien/Non-Resident Removal, Building Vacation, Building Condemnation, Unsound Article Removal, Dangerous Dog Control, Rental Horse Removal, Cooling Tower Compliance, Indoor Allergen Hazard Remediation, Covered Facility Lead Remediation, Inhalation Therapy Equipment, Pet Shop Cease and Desist)
    *   Subject Entity Type (e.g., Person, Household, Vessel, Building, Market, Street, Alley, Land, Yard, Cellar, Child, Alien, Cargo, Dog, Horse, Cooling Tower, Dwelling Unit, Covered Facility, Business)
    *   Subject Entity ID (links to relevant entity datasets, e.g., Person ID, Vessel ID, Building ID, Property ID, Child ID, Dog ID (14), Horse ID (13), Cooling Tower ID (18), Dwelling Unit ID, Covered Facility ID, Business ID)
    *   Description of Condition/Violation Leading to Order
    *   Required Action
    *   Compliance Deadline
    *   Order Status (e.g., Issued, Complied, Non-Complied, Executed by Agency, Revoked, Modified, Appealed)
    *   Date of Status Change
    *   Enforcing Officer/Inspector ID
    *   Enforcing Department/Agency
    *   Associated Violation ID (if applicable) (links to Dataset 1)
    *   Service Method (e.g., Personal, Mail, Posting, Publication)
    *   Date of Service
    *   Proof of Service
    *   Objection/Appeal Filed (Yes/No)
    *   Objection/Appeal Outcome (links to Dataset 7)
    *   Execution by Agency (Yes/No)
    *   Execution Expenses (links to Dataset 8)

5.  **Complaint and Service Request Logs**

    **Quotes:**
    *   "The number and nature of 311 requests for service or complaints related to rat activity within any 12-month period within a given sanitation district or community district;" (§ 17-133.2.a.4)
    *   "Within 14 days of receipt of a covered complaint, the department shall make its best effort to inspect the building to which such complaint pertains for signs of rat activity or conditions that attract rats..." (§ 17-133.4.b)
    *   "Any person who desires to register a complaint under this chapter may do so with the department." (§ 17-507.b)
    *   "The department shall respond to complaints regarding unsafe lead-based paint work practices." (§ 17-185)
    *   "The department shall respond to complaints of unsafe work practices related to the correction of indoor mold hazard violations that result in chemical vapors, dust, or other environmental hazards, and promptly refer complaints of unsafe pest control to the New York state department of environmental conservation." (§ 17-199.8)
    *   "establishing a system to receive questions, comments, complaints, and compliments with respect to any food service establishment inspection, including but not limited to, the establishment, operation, and dissemination of a central telephone hotline and website to receive such questions, comments, complaints, and compliments;" (§ 17-1505.b.1)
    *   "Information on how to make complaints to the department and relevant state agencies regarding a child care service or home-based child care program, including relevant phone numbers and websites;" (§ 17-1311.b.1)

    **Why:** Tracking public complaints and service requests is essential for identifying issues, prioritizing responses, and demonstrating accountability.

    **One row represents:** A single complaint or service request received by the DOHMH.

    **Covers:** All complaints and service requests related to rat activity, smoking policy violations, unsafe lead paint work practices, unsafe indoor allergen remediation, and food service establishment inspections, and child care services.

    **Columns:**
    *   Complaint ID
    *   Date Received
    *   Time Received
    *   Complaint Source (e.g., 311, Website, Phone, Walk-in, Agency Referral)
    *   Complainant Contact Information (if provided, e.g., Name, Phone, Email)
    *   Complaint Type (e.g., Rat Activity, Smoking Violation, Unsafe Lead Work, Unsafe Allergen Remediation, Food Service Inspection, Child Care Service)
    *   Location ID (e.g., Building ID, Premises Address, Food Service Establishment ID (19), Child Care Service ID (16))
    *   Description of Complaint
    *   Priority Level (e.g., Emergency, High, Medium, Low)
    *   Assigned Inspector/Team ID
    *   Date Assigned
    *   Resolution Status (e.g., Investigated, Resolved, Referred, Closed)
    *   Date Resolved/Closed
    *   Associated Inspection ID (if applicable) (links to Dataset 2)
    *   Associated Violation ID (if applicable) (links to Dataset 1)
    *   Referral Agency (if applicable)

6.  **Application Records (General)**

    **Quotes:**
    *   "All applications for a license or permit shall be accompanied by payment of the fee and shall be in such form and detail as the commissioner may prescribe." (§ 17-309.a)
    *   "In addition to any other information required, the commissioner shall require the following information: 1. The name, home and business address of the applicant. If the applicant is applying for a permit to vend food from a vehicle or pushcart in a public place, the name, home address and license number of every food vendor who will be authorized to operate such applicant's vehicle or pushcart and the legal relationship between such applicant and such food vendor. 2. A description of the food to be offered for sale and a description of the vehicle or pushcart to be used and a statement whether or not the application is for a fresh fruits and vegetables permit. 3. Three prints of a full-face photograph of the applicant taken not more than thirty days prior to the date of the application. 4. Where the application is for a permit, proof that the applicant has obtained a certificate of authority to collect sales taxes pursuant to section eleven hundred thirty-four of the tax law from the New York state department of taxation and finance. 5. Whether such applicant is an individual, partnership or other association, or a corporation or limited liability company and if such applicant is an individual applying for a permit to vend food from a vehicle or pushcart in a public place, whether any of such applicant's unemancipated children hold such permits; if a partnership, limited liability company or other association, the name and address of each partner, member, officer or manager of such entity; if a corporation, the names and addresses of the officers, directors and shareholders. 6. An applicant who is a non-resident of the city shall provide the name and address of a registered agent within the city or designate the commissioner as his or her agent upon whom process or other notification may be served. 7. No City officer or employee shall inquire about an applicant's immigration or citizenship status as part of an application made pursuant to this section. Information about an applicant's immigration or citizenship status shall not affect the consideration of the application for a food vendor's license or renewal thereof. 8. Proof that the applicant has obtained the appropriate seal of approval from a weights and measures official for his or her weighing or measuring device or system as required under section one hundred eighty-three of the agriculture and markets law." (§ 17-309.b)
    *   "Any person intending to engage in the practice of tattooing shall apply to the commissioner for a tattoo license, in the form and manner prescribed by the commissioner. Such application shall contain such information as the commissioner deems reasonable and necessary to determine the qualifications for granting a license to the applicant." (§ 17-358.a)
    *   "Any person eighteen years of age or older may apply to the commissioner for a license to practice tattooing. No license may be issued to a person who has been convicted of criminal tattooing of a minor in violation of section 260.21 of the New York state penal law within the year immediately preceding such license application." (§ 17-358.b)
    *   "An application for a permit required pursuant to section 17-372 of this title or for the renewal of such a permit shall be made and submitted on forms furnished by the department." (§ 17-373.a)
    *   "The application shall contain all information required by the department. If the applicant for the permit is a sole proprietorship, the application shall be signed by the individual who would be the permittee. If the applicant is a partnership, the application shall be signed by a partner. If the applicant is a limited partnership, the application shall be signed by the managing or general partner. If the applicant is a corporation, the application shall be signed by an officer or director of the corporation or by any member, if management is vested in members. If the applicant is a limited liability company, the application shall be signed by any manager of the limited liability company. Such signature shall constitute an agreement that the permittee assumes responsibility for the conduct of the business, occupation or other activity concerned in accordance with the requirements of this subchapter or other applicable law." (§ 17-373.c)
    *   "The application shall, at a minimum, include: 1. The name, age, gender, residence and business address, and telephone numbers of the applicant, each member of the partnership, limited liability company or group, and each officer of the corporation, as applicable; 2. To the extent that such information is relevant to the conduct of the business, trade, occupation or other activity under permit, information concerning the applicant, its individual members or officers, relating to education, training or experience, moral character, physical health, addiction to alcohol or habit-forming drugs, history of prior criminal conviction, including violations and offenses, history of mental illness, and record of insolvency or bankruptcy; 3. Proof of current workers' compensation and disability benefits insurance coverage for all employees, or of a certificate of exemption filed with the workers' compensation board; 4. The e-mail address of (i) the individual owner of the business, (ii) the person exercising daily management and control of the business, or (iii) the person who is authorized by law to accept service of process on behalf of the applicant; and 6. Any information that the department determines may be necessary in order to contact the permittee in the event of an emergency." (§ 17-373.d)
    *   "The commissioner shall not issue or renew a permit unless department records show there are no finally determined uncorrected violations or unpaid outstanding fines, penalties or forfeitures imposed by any court, administrative tribunal established within the office of administrative trials and hearings or administrative tribunal established in accordance with the administrative code or the charter, which are due and payable by the applicant or the permittee." (§ 17-373.e)
    *   "The commissioner shall not issue a new permit or renewal of an existing permit to any person listed on the animal abuse registry created pursuant to chapter sixteen of this title." (§ 17-373.f)
    *   "Any city agency, including the department, is authorized to apply to the commissioner for a waiver of the restrictions established pursuant to section 17-1203 of this chapter. Such application shall be in a form and manner prescribed by the commissioner and shall contain such information as the commissioner deems reasonable and necessary to determine whether such waiver should be granted." (§ 17-1206)

    **Why:** Applications are the entry point for regulatory oversight, requiring detailed tracking of submitted information and processing status.

    **One row represents:** A single application for a license, permit, registration, or waiver.

    **Covers:** All applications submitted to the DOHMH for various licenses, permits, registrations, and waivers, including food vendor licenses/permits, rental horse licenses, inhalation therapy licenses/certificates, dangerous dog registrations, tattooist licenses, pet shop permits, tobacco/e-cigarette retail registrations, non-tobacco hookah establishment permits, child care service permits, and city agency pesticide use waivers.

    **Columns:**
    *   Application ID
    *   Application Date
    *   Application Type (e.g., Food Vendor License, Food Vending Permit, Rental Horse License, Inhalation Therapy Purveyor License, Inhalation Therapy Technician Certificate, Dangerous Dog Registration, Tattooist License, Pet Shop Permit, Tobacco Store Registration, Hookah Establishment Permit, Motor Carrier Drug Testing Certification, Child Care Service Permit, Pesticide Use Waiver)
    *   Applicant ID (e.g., Person ID, Business ID, Organization ID)
    *   Applicant Name
    *   Applicant Address (Home/Business)
    *   Applicant Phone Number
    *   Applicant Email Address
    *   Applicant Type (e.g., Individual, Partnership, Corporation, LLC)
    *   Applicant Age (if individual)
    *   Applicant Gender (if individual)
    *   Description of Business/Activity
    *   Description of Food/Vehicle/Pushcart (for food vendors)
    *   Photograph Submitted (Yes/No) (for food vendors)
    *   Proof of Sales Tax Authority (Yes/No) (for food vendors)
    *   Proof of Weights & Measures Seal (Yes/No) (for food vendors)
    *   Names/Addresses of Partners/Officers/Members/Shareholders (if applicable)
    *   Non-Resident Agent Name/Address (if applicable)
    *   Immigration/Citizenship Status Inquiry (No)
    *   Prior Convictions/Violations (Yes/No, details if yes)
    *   Workers' Compensation/Disability Insurance Proof (Yes/No) (for pet shops)
    *   Uncorrected Violations/Unpaid Fines (Yes/No) (for pet shops)
    *   Animal Abuse Registry Check Result (for pet shops) (links to Dataset 20)
    *   Serious Injury/Death Disclosure (for child care services)
    *   Felony Conviction Disclosure (for child care services)
    *   Application Status (e.g., Submitted, In Review, Approved, Denied, Withdrawn)
    *   Date of Status Change
    *   Reason for Denial/Withdrawal (if applicable)
    *   Associated License/Permit ID (if approved) (links to Dataset 3)
    *   Language Preference for Inspections

7.  **Order Modification and Appeal Records**

    **Quotes:**
    *   "If any party, within three days after service or attempted service of such order upon him or her and before its execution is commenced, shall apply to the board, or the chairperson thereof, to have such order or its execution stayed or modified, it shall then be the duty of the board to temporarily suspend or modify it at the execution thereof, save in cases of imminent peril to the public health, when the board may exercise extraordinary powers, as specified in section five hundred sixty-three of the charter and to give such party or parties together, as the case in the opinion of such board may require, a reasonable and fair opportunity to be heard before it and to present facts and proofs, according to its rules and directions, against such declaration and the execution of such order, or in favor of its modification, according to the regulation of the board." (§ 17-146)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)

    **Why:** Tracking requests to modify or appeal DOHMH orders is essential for due process and administrative review.

    **One row represents:** A single request to stay or modify an order, or an objection to an order.

    **Covers:** All applications to stay or modify DOHMH orders, and objections to lead abatement or remediation orders.

    **Columns:**
    *   Request ID
    *   Order ID (links to Dataset 4)
    *   Request Date
    *   Request Type (e.g., Stay, Modification, Objection)
    *   Requesting Party ID (e.g., Person ID, Business ID)
    *   Grounds for Request/Objection
    *   Hearing Scheduled (Yes/No)
    *   Hearing Date
    *   Hearing Outcome (e.g., Granted, Denied, Withdrawn, Modified)
    *   Date of Outcome
    *   Reason for Outcome (e.g., Faulty Testing, Inconclusive Results, Exemption)
    *   Order Status After Review (e.g., Original Order Reaffirmed, Modified, Suspended, Revoked)

8.  **Order Execution and Expense Records**

    **Quotes:**
    *   "If such order is not complied with, or so far complied with as the board may regard as reasonable, within five days after service or attempted service or within any shorter time, which, in case of imminent peril to the public health, the board may have designated, or is not thereafter speedily and fully executed, then such order may be executed as any of the orders of the board or department. Any agency of the city is authorized to act as agent of the department in executing such order. In the event that any agency shall so act, it shall certify and transmit to the department its expenses in the execution of such order separately in respect of each separately owned parcel of property. Such expenses shall be reimbursed to such agency and shall be chargeable and collectible as expenses of the department in connection with the execution of an order as referred to in this chapter." (§ 17-147)
    *   "The department, in case it has incurred any expense, or has rendered service for which payment is due, and as the rules of the department may provide, may institute and maintain a suit against any one liable for such expenses, or against any person, firm, or corporation, owing or who may owe such rent or compensation, and may recover the expenses so incurred under any such order." (§ 17-150)
    *   "There shall be filed in the office of the department a record of all work caused to be performed by or on behalf of the department in executing any order of the board or department. Such records shall be kept on a building by building basis and shall be accessible to the public during business hours. Within thirty days after the issuance of a purchase or work order to cause such work to be done, entry of such order shall be made on the records of the department. Such entry shall constitute notice to all parties." (§ 17-151.a)
    *   "All expenses incurred by or on behalf of the department for such work, pursuant to this title or any other applicable provision of law, shall constitute a lien upon the land and buildings upon or in respect to which, or either of which, the work required by such order has been done, or expenses incurred, when the amount thereof shall have been definitely computed as a statement of account by the department and the department shall cause to be filed in the office of the city collector an entry of the account stated in the book in which such charges against the premises are to be entered." (§ 17-151.b)
    *   "When the department shall have executed, or so far executed as the department may require, any order, a certificate setting forth the expenses of such execution, itemized generally, and the date thereof shall be filed among the records of the department with the order so executed; and the department shall take care by, or through some proper officer, or otherwise, that the expenses of such execution be so stated with fairness and accuracy." (§ 17-153.a)
    *   "Whenever the expenses attending the execution of any order of the department may be made the subject of a suit by it, there may be joined in the same suit a claim or claims for any penalty or penalties for violation of any health provisions, or for the violation or omission to perform or obey such order, or any prior order of the department, or for the not doing of that, or any portion of that, for the doing of which such expenses arose or were incurred; and the proper joint or several judgment may be had against one or more of the defendants in the suit, as they or either of them may be liable in respect of both such claims, or either or any of them." (§ 17-153.c)
    *   "The department may serve a copy of the order under or by reason of which such expenses were authorized or incurred with a copy of the affidavit stating the expenses of the execution of such order, or if the claim be a judgment, may serve a transcript of such judgment, and an affidavit showing the expense of its execution if there be any, upon any person or corporation, owing, or who is about to owe any such compensation, or owing or about to owe any rent or compensation for the use or occupation of any grounds, premises or buildings or any part thereof, to which such order or judgment relates, and in respect of which such expenses embraced in such judgment related or were incurred, and may, at the time of such service, demand in writing that such rent, or any such compensation to the extent of such claim for such expenses, or for any such judgment or expenses in executing the same, when such rent or compensation becomes due and payable, be paid to the department." (§ 17-154)
    *   "After the service of such papers and such demand, any tenant, lessee, occupant, or other person owing, or about to owe, any such rent or any such compensation when it shall mature, or become payable, shall pay the same, and from time to time pay any other amount thereof, as the same may become due and payable, or so much thereof as is sufficient to satisfy any such judgment or claim for expenses, or both, so served, to the department, and a receipt shall be given therefor, stating on account of what order or judgment and expenses the same has been paid and received; and the amount so received shall be deposited where other funds of the department are kept, to the special account of the department." (§ 17-155)

    **Why:** Tracking the execution of orders and associated expenses is vital for cost recovery, financial management, and ensuring compliance.

    **One row represents:** A single instance of an order being executed by the DOHMH or its agent.

    **Covers:** All instances where the DOHMH or another city agency executes an order due to non-compliance, including details of the work performed, expenses incurred, and lien filings.

    **Columns:**
    *   Execution ID
    *   Order ID (links to Dataset 4)
    *   Execution Date
    *   Executing Agency
    *   Description of Work Performed
    *   Total Expenses Incurred
    *   Itemized Expenses (general categories)
    *   Property ID (links to relevant property datasets, e.g., Building ID)
    *   Owner/Liable Party ID (e.g., Person ID, Business ID)
    *   Lien Filed (Yes/No)
    *   Lien Filing Date
    *   Lien Amount
    *   Lien Status (e.g., Active, Paid, Foreclosed)
    *   Date Lien Satisfied
    *   Payment Received (Yes/No)
    *   Payment Amount
    *   Date Payment Received
    *   Associated Suit ID (if applicable) (links to Dataset 1)

9.  **Vital Records (Births, Fetal Deaths, Deaths)**

    **Quotes:**
    *   "The department shall keep a record of the births, fetal deaths and deaths filed with it, the births, fetal deaths and deaths shall be numbered separately and recorded in the order in which they are respectively received." (§ 17-166.a)
    *   "There shall be no specific statement on the record or report of birth as to whether the child is born in or out of wedlock or as to the marital name or status of the mother." (§ 17-166.b)
    *   "The name of the putative father of a child born out of wedlock shall not be entered on the birth certificate by the person preparing the birth certificate without the putative father's consent in writing, duly verified by him and given to the physician, midwife or person acting as midwife who was in attendance upon the birth and filed with the hospital record of the birth, or, in the case of a birth in a place other than a hospital or on an ambulance service connected therewith, filed with the records of the physician, midwife or person acting as midwife who was in attendance upon the birth. In the event the consent in writing of the putative father is not given, particulars relating to the putative father, other than his name, may be entered." (§ 17-166.d)
    *   "The certificate of induced termination of pregnancy shall not, unless requested by the woman contain the name of the woman, her social security number or any other information which would permit her to be identified except as provided in this subdivision. The department shall develop a unique, confidential identifier to be used on the certificate of induced termination of pregnancy, to be used in connection with the exercise of the commissioner's authority to monitor the quality of care provided by any individual or entity licensed to perform an abortion in this state and to permit coordination of data concerning the medical history of the woman for purposes of conducting surveillance scientific studies and research." (§ 17-166.e)
    *   "The department shall establish a procedure to request correction of sex designation on a death record and shall post an application form and instructions for making such a request on its website." (§ 17-166.1.b)
    *   "A new birth record shall be made whenever: 1. Proof is submitted to the department that the previously unwed parents of a person have intermarried subsequent to the birth of such person; 2. Notification is received by the department from the clerk of a court of competent jurisdiction or proof is submitted of a judgment, order or decree relating to the parentage of the person; 3. Notification is received by the department from the clerk of a court of competent jurisdiction or proof is submitted of a judgment, order or decree relating to the adoption of the person." (§ 17-167.a)
    *   "On every birth record made because of adoption, a notation that it is filed pursuant to paragraph three of subdivision a of this section of the code shall be entered." (§ 17-167.b)
    *   "When a new birth record is made the department shall substitute such new record for the birth record then on file. The department shall place the original birth record and the proof, notification and papers pertaining to the new birth record under seal. Seals shall not be broken except by order of a court of competent jurisdiction." (§ 17-167.c)
    *   "The department shall make a new birth record when an applicant submits an application and supporting documentation pursuant to this subdivision and subdivision c of this section requesting the correction of sex designation to the applicant's birth record." (§ 17-167.1.b)
    *   "The department shall keep a record of the births, fetal deaths and deaths filed with it, the births, fetal deaths and deaths shall be numbered separately and recorded in the order in which they are respectively received." (§ 17-166.a)
    *   "Records shall be kept in the office of the chief medical examiner, properly indexed, stating the name, if known, of every person dying under the circumstances described in paragraph one of subdivision (f) of section five hundred fifty-seven of the charter, the place where the body was found and the date of death. To the record of each case shall be attached the original report of the medical examiner and the detailed findings of the autopsy, if any." (§ 17-205)
    *   "The department shall, subject to the approval of the board of health, develop an electronic death registration system. Such electronic death registration system shall include an internet based electronic method of collecting, storing, recording, transmitting, amending and authenticating information necessary to complete a death registration." (§ 17-196.b)

    **Why:** Maintaining accurate and comprehensive vital records is a fundamental public health responsibility for demographic analysis and legal purposes.

    **One row represents:** A single birth, fetal death, or death event.

    **Covers:** All births, fetal deaths, and deaths occurring within the city, including original and supplemental records, and requests for sex designation corrections.

    **Columns:**
    *   Record ID (Unique identifier for each birth, fetal death, or death)
    *   Record Type (Birth, Fetal Death, Death)
    *   Date of Event
    *   Time of Event (if applicable)
    *   Place of Event (e.g., Hospital Name, Address, Home Address)
    *   Borough of Event
    *   Individual Name (First, Middle, Last)
    *   Sex Assigned at Birth
    *   Gender Identity (if corrected/requested)
    *   Date of Birth
    *   Parent(s) Name(s) (for birth records)
    *   Mother's Marital Status (not explicitly stated on record)
    *   Putative Father's Consent (Yes/No, for out-of-wedlock births)
    *   Putative Father's Name (if consent given)
    *   Putative Father's Other Particulars (if no consent)
    *   Physician/Midwife/Attendant ID
    *   Hospital Record ID (if applicable)
    *   Date Record Received/Filed
    *   Original Record ID (for supplemental records)
    *   Reason for New/Supplemental Record (e.g., Parents Intermarried, Parentage Judgment, Adoption)
    *   Adoption Notation (Yes/No, for adoption-based records)
    *   Sex Designation Correction Request Date (if applicable)
    *   Sex Designation Correction Approval Date (if applicable)
    *   Cause of Death (for death records)
    *   Medical Examiner Case ID (for reportable deaths) (links to Dataset 10)
    *   Electronic Registration System Used (Yes/No)
    *   Unique Confidential Identifier (for induced termination of pregnancy)
    *   Physician License Status (for birth records, if redacted copy requested)
    *   COVID-19 Related Death (Yes/No, for fee waiver)

10. **Medical Examiner Case Records**

    **Quotes:**
    *   "It shall be the duty of any citizen who becomes aware of the death of any person, occurring under the circumstances described in paragraph one of subdivision (f) of section five hundred fifty-seven of the charter, to report such death forthwith to the office of the chief medical examiner, and to a police officer who shall forthwith notify the officer in charge of the station-house in the police precinct in which such person died." (§ 17-201)
    *   "Upon any such death, the officer in charge of the station-house in the police precinct in which such person died shall immediately notify the office of chief medical examiner of the known facts concerning the time, place, manner and circumstances of such death." (§ 17-202.a)
    *   "Immediately upon receipt of such notification the chief medical examiner, or a deputy chief medical examiner, or a medical examiner, or a medical investigator, or a lay medical investigator shall go to and take charge of the dead body. Such medical examiner, medical investigator or lay medical investigator shall fully investigate the essential facts concerning the circumstances of the death, taking the names and addresses of as many witnesses thereto as it may be practicable to obtain, and shall record all such facts and file the same in the office of chief medical examiner." (§ 17-202.a)
    *   "Such medical examiner, medical investigator or lay medical investigator shall take possession of any portable objects which, in his or her opinion, may be useful in establishing the cause of death, and except as provided in subdivision c hereof, shall deliver them to the police department." (§ 17-202.a)
    *   "The police officer detailed in such cases shall, in the absence of next of kin of the deceased person, take possession of all property of value found on such person, make an exact inventory thereof on his or her report, and deliver such property to the police department, which shall surrender the same to the person entitled to its custody or possession." (§ 17-202.b)
    *   "Notwithstanding the provisions of subdivisions a and b of this section, any suicide note or other written evidence of suicide found on such deceased person shall be delivered to the chief medical examiner and shall be retained by said medical examiner." (§ 17-202.c)
    *   "If it may be concluded with reasonable certainty that death occurred from natural causes or obvious traumatic injury, and there are no other circumstances which would appear to require an autopsy, the chief medical examiner, deputy chief medical examiner or medical examiner or medical investigator in charge shall certify the cause of death and file a report of his or her findings in the office of chief medical examiner." (§ 17-203)
    *   "If, however, in the opinion of a medical examiner, an autopsy is necessary, the same shall be performed by a medical examiner. Where indicated, the autopsy shall include toxicologic, histologic, microbiologic and serologic examinations. A detailed description of the findings of all autopsies shall be written or dictated. The findings of the investigation at the scene of death, the autopsy and any toxicologic, histologic, serologic and microbiologic examinations, and the conclusions drawn therefrom shall be filed in the office of chief medical examiner. Such findings and conclusions shall be signed by the medical examiner performing the autopsy." (§ 17-203)
    *   "Whenever an application is made pursuant to law for a permit to cremate the body of any person, the department, board or office in which such application is filed shall forward such application to the chief medical examiner who shall thereupon cause an investigation and report to be made thereon." (§ 17-204)
    *   "In the event that the chief medical examiner, or a deputy chief medical examiner, or a medical examiner shall, in the course of such investigation, determine that reasonable grounds exist therefor, an autopsy shall be performed upon such body by a medical examiner." (§ 17-204)
    *   "Records shall be kept in the office of the chief medical examiner, properly indexed, stating the name, if known, of every person dying under the circumstances described in paragraph one of subdivision (f) of section five hundred fifty-seven of the charter, the place where the body was found and the date of death. To the record of each case shall be attached the original report of the medical examiner and the detailed findings of the autopsy, if any." (§ 17-205)
    *   "The department, from time to time may make rules and regulations fixing the time of rendering, and defining the form of returns and reports to be made to it by the chief medical examiner, in all cases of death which shall be investigated by him or her. The chief medical examiner shall conform to such rules and regulations." (§ 17-116)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
    *   "The report required pursuant to subdivision a of this section shall include the number of orders withdrawn in full by the department, disaggregated by the reasons such orders were withdrawn, including, but not limited to: 1. Faulty paint sampling or testing by the department; 2. Inconclusive or contradicting test results; or 3. Exemptions due to the date a tested dwelling was erected." (§ 17-916.b)
    *   "The department shall submit to the mayor and the speaker of the council, and make publicly available on the department’s website, a report on the number of objections to department orders for lead abatement or remediation received by the department pursuant to paragraph 3 of subdivision d of section 173.13 of the health code, or successor provision." (§ 17-916.a)
